cile;nazev.1;statni-prislusnost;vedidk_core_researcher;titul-pred;jmeno;prijmeni;vedoucí jméno;vedoucí příjmení;vedoucí vedidk;ORCID vedouci;researcherid vedouci ;scopusID vbedouci;druhy vedouci jmeno;druhy vedouci příjmeni;druhy vedouci vedidk;ORCID druhy vedouci;researcherid druhy vedouci ;scopusID druhy vedouci
Navržený projekt se zabývá vývojem nových mikrofluidních nástrojů pro izolaci a analýzu nádorových buněk. Vyvinutá zařízení budou integrovat funkční jednotky pro izolaci, počítání a lyzi buněk. Afinitní segmenty budou syntetizovány v kapilárách nebo mikrofluidních kanálcích a modifikovány specifickými protilátkami proti membránovým a vnitrobuněčným proteinům rakovinových buněk. Buněčné lyzáty a proteiny budou analyzovány pomocí CE/LIF a CE/MS. Zatímco primárním cílem projektu je analýza nádorových buněk, lze očekávat, že vyvinuté technologie budou obecně použitelné nejen pro analýzu nádorových buněk, ale také pro obecnou charakterizaci jakýchkoliv buněk či buněčných populací.;Ústav analytické chemie AV ČR, v. v. i.;CZ;4686586;Mgr.;Jana;Křenková;;;;;;;;;;;;
Cílem projektu je sledovat výskyt a osud syntetických progestinů a progesteronu ve vodním prostředí některých evropských zemí. V odebraných vzorcích vody bude současně pomocí in vitro testů zjišťována progestagenní aktivita a korelována s koncentrací progestinů. Účinky vybraných syntetických progestinů na raný vývoj a vývoj gonád ryb a jejich vliv na sexuální chování ryb budou studovány v laboratorních podmínkách. Informace o výskytu a osudu syntetických progestinů ve vodním prostředí a o nejnižších koncentracích, u kterých byl zaznamenán vliv na ryby v laboratorních podmínkách, může pomoci při hodnocení potenciálních rizik těchto látek pro životní prostředí.;Jihočeská univerzita v Českých Budějovicích / Fakulta rybářství a ochrany vod;CZ;3929809;Ing.;Hana;Kocour Kroupová;;;;;;;;;;;;
"Projekt se zabývá studiem přechodných povrchových výbojů v tzv. trojných spojeních na rozhraních látek (kov/dielektikum/plyn a vodivá tekutina/dielektrikum/plyn). Kombinuje pokročilé spektroskopické metody: vysoce-rozlišené optické emisní spekroskopie, časově korelované čítání fotonů a diagnostiky laserově indukované fluorescence. Projekt hodlá:
1. objasnit vznik a vývoj povrchového plazmatu v okolí trojných spojení (elektronová multiplikace, vznik katodové skvrny a šíření ionizačních vln/streamerů)
2. přispět ke komplexnímu pochopení procesů v přítomnosti kapalné/vodní elektrody a jejího vlivu na generované plazma
3. kvantifikovat vývoj základních parametrů plazmatu (elektronová hustota, elektrické pole) v blízkosti trojného spojení s extrémně vysokým časoprostorovým rozlišením a s vysokou citlivostí a vyvinout semi-empirické přibližné modely popisu
4.kvantifikovat produkci reaktivních komponent plazmatu a radikálů v blízkosti trojného spojení";Masarykova univerzita / Přírodovědecká fakulta;CZ;6304397;Mgr.;Tomáš;Hoder;Mirko;Černák;1879405;0000-0003-0939-5013;;;;;;;;
Mechanismus adaptace na prostředí představuje tradičně objekt zájmu evolučních biologů. Život ryb v hluboké vodě vyžaduje velké množství takových adaptací, aby se úspěšně vyrovnaly s limitními faktory jako je nedostatek světla či vysoký tlak. Opsiny a hemoglobiny představují příklad molekul s vysokou adaptabilitou, jejichž role ve vnímání světla a transport kyslíku je nezastupitelná. Dva mechanismy molekulární adaptace, tj. 1) mutace DNA a 2) rozdílná genová exprese těchto proteinů, budou studovány u čtyř nezávislých modelových skupin cichlid se zaměřením na hlubokovodní specialisty. Studium těchto skupin umožní porozumět hlouběji tomu, jak může prostředí ovlivňovat evoluci. Projekt se zaměřuje na specifické faktory prostředí, jako je nedostatek světla či vysoký tlak a umožní tak porozumět tomu, jako jsou na molekulární úrovni akumulovány mutace, jaký je jejich efekt a zda jsou funkční změny obdobné napříč studovanými liniemi ryb.;Univerzita Karlova / Přírodovědecká fakulta;CZ;4885783;Mgr.;Zuzana;Musilová;Jindřich ;Novák;7948824;;;;;;;;;
Stresová kardiovaskulární odpověď, která je charakterizovaná tachykardií, vzestupem krevního tlaku (TK) a sympatické nervové aktivity, je modulovaná baroreflexem, jenž tlumí krátkodobé výkyvy TK. Spontánně hypertenzní potkani (SHR) mají mohutnější a prodlouženou kardiovaskulární odpověď na stres, přičemž citlivost jejich baroreflexu je nižší než u normotenzních Wistar-Kyoto (WKY) potkanů. Mozkový renin-angiotenzinový systém (RAS) a adrenální glukokortikoidy působící v mozku hrají důležitou úlohu při udržování hypertenze u SHR. Blokáda těchto systémů mění neuroendokrinní odpověď SHR na stres a zlepšuje citlivost jejich baroreflexu. Cílem projektu je a) studovat molekulární mechanizmy stresové kardiovaskulární odpovědi u SHR a WKY potkanů, b) analyzovat účinky stresu na neuroendokrinní systémy u těchto potkanů a určit molekulární podstatu pozorovaných kmenových rozdílů, c) zhodnotit účinky farmakologické blokády RAS či glukokortikoidů na kardiovaskulární a neuroendokrinní stresovou odpověď.;Fyziologický ústav AV ČR, v. v. i.;CZ;4484789;Mgr.;Michal;Behuliak;;;;;;;;;;;;
Sexualita je jednou z nejdůležitějších institucí, skrze něž se utváří modernita. Analýzou sexuálních významů a praktik a jejich proměn v prostoru a v čase lze zachytit proměny, k nimž dochází v moderních společnostech.  Zaměření na vědu – sexuologii a s ní spojené formy expertizy –, jež představuje významný zdroj autority a legitimity, umožňuje kriticky zkoumat vliv, který sexualita má na naše každodenní životy. Tento projekt v komparativní perspektivě analyzuje sexualitu, intimitu a gender, kterak byly konstruovány expertními diskursy ve státně-socialistické střední Evropě včetně Československa. Sexuální režimy zkoumá v kontextu širších sociálních procesů druhé poloviny 20. století na „Východě“, kde došlo k pokusu ustavit alternativní modernitu.;Masarykova univerzita / Fakulta sociálních studií;CZ;3481891;;Kateřina;Lišková;Radim;Marada;1983709;0000-0001-7505-3156;T-6314-2017;24479080900;;;;;;
V posledních letech se vážně uvažuje o možnosti, že přítomnost environmentálních kontaminantů, tzv. endokrinních disruptorů, v prostředí je v přímé souvislosti s dokumentovaným poklesem samčí fertility a tato problematika se stává veřejným zájmem a předmětem vědeckého zkoumání. Tento projekt se bude zabývat detailní rolí mezibuněčné komunikace zprostředkované mezerovými spoji (GJIC) v samčí reprodukční toxicitě způsobené environmentálně relevantními endokrinními disruptory a jejich směsi. Při hodnocení aktivity studovaných látek inhibovat GJIC v klíčových testikulárních buňkách a při jejich vzájemném srovnávání bude vzata do úvahy jejich biokinetika in vitro. Zaměříme se také na specifické molekulární mechanismy vedoucí k inhibici GJIC v testikulárních buňkách. Dále se budeme zabývat kombinací výsledků inhibice GJIC s dalšími důležitými mechanismy působení, jako jsou buněčná proliferace a přežití a ovlivnění hlavních funkcí testikulárních buněk. Očekávané výsledky napomohou objasnit zdravotní rizika endokrinních disruptorů zaměřením na roli mezibuněčné komunikace.;Masarykova univerzita / Přírodovědecká fakulta;CZ;4439031;RNDr.;Iva;Sovadinová;Luděk;Bláha;4982800;0000-0002-7314-7455;N-6343-2013;;;;;;;
Hlavním cílem projektu je založení mladého výzkumného týmu zabývajícího se polinační biologií v tropické Africe. Konkrétním cílem projektu je studium polinačních sítí a související funkční a taxonomické diverzity podél výškového gradientu Kamerunské hory v západní Africe. Projekt má tři části. První část projektu “Obecné patrnosti polinačních systémů podél výškového gradientu” se bude zabývat distribucí polinačních systémů podél výškového gradientu a změnami funkční a taxonomické diversity cílových skupin opylovačů (denní a noční motýli) a rostlin (Rubiaceae a Acanthaceae). V druhé části budeme testovat hypotézu polinačních syndromů. Třetí část projektu “Variabilita a specializace polinačních sítí podél výškového gradientu” je zaměřena na změny ve vlastnostech dvou typů polinačních sítí vybraných modelových čeledí rostlin (Rubiaceae a Acanthaceae). Tato část projektu zodpoví otázky, jak se mění specializovanost polinačních sítí s nadmořskou výškou a jak se mění její vlastnosti související s jejích stabilitou.;Univerzita Karlova / Přírodovědecká fakulta;CZ;4918649;RNDr.;Robert;Tropek;Martin;Konvička;3384527;0000-0002-4339-8923;H-1446-2014;;;;;;;
Semiempirické kvantově-mechanické výpočetní metody jsou použitelné pro studium velkých molekulárních systémů (tisíce atomů) ale přesto si zachovávají univerzálnost kvantově mechanických výpočtů – na rozdíl od molekulové mechaniky nepotřebují speciální parametrizaci pro každý studovaný systém. To z nich dělá velice užitečný nástroj pro řešení široké škály praktických problémů od biochemie po nanomateriály. Nevýhodou těchto metod je nedostatečná přesnost popisu nekovalentních interakcí které jsou přitom pro posis velkých systémů zcela zásadní. To bylo dosud řešeno empirickými korekcemi, další zvyšování přesnosti ale již vyžaduje nový přístup. Proto navrhujeme nový, neempirický model pro elektrostatické interakce který výrazně zlepší popis vodíkových a halogenových vazeb a dalších interakcí. V kombinaci s dalším zlepšením korekcí pro Londonovu disperzi a repulzi by mělo být možné dosáhnout přesnosti lepší než 0.5 kcal/mol která byla dosud vyhrazena pouze mnohem náročnějším výpočetním metodám jako je DFT s diperzní korekcí.;Ústav organické chemie a biochemie AV ČR, v. v. i.;CZ;5993768;RNDr.;Jan;Řezáč;Pavel;Hobza;2932016;0000-0001-5292-6719;G-8060-2014;;;;;;;
Požadavky nízkého napájecího napětí, nízké výkonové spotřeby, velké šířky pásma či nízkého šumu kladené na současná elektronická zařízení a především na jejich funkční bloky zpracovávající analogové signály přináší návrh nových typů aktivních prvků, jejichž aplikační možnosti však doposud nebyly plně analyzovány a jejich přínos vyhodnocen. Úkolem projektu je teoretický výzkum v oblasti základních koncepcí pokročilých nekonvenčních vícebranových aktivních prvků, přičemž značná pozornost bude věnována studiu prvků s rozdílovými branami. Cílem projektu je základní výzkum a realizace universálního prvku v moderní submikronové technologii CMOS TSMC 0,18 mikrometrů. Teoretické předpoklady budou ověřovány počítačovými simulacemi i experimentálně. Důraz je kladen na studium reálného chování vyrobeného obvodu. Budou navrženy nová zapojení aktivních nediferenčních a pseudo-diferenčních filtrů, fázovacích článků, multifunkčních obvodů, usměrňovačů, oscilátorů a imitančních konvertorů. Výsledky projektu budou publikovány v časopiseckých a konferenčních příspěvcích a v knižní publikaci.;Vysoké učení technické v Brně / Fakulta elektrotechniky a komunikačních technologií;CZ;3120899;doc. Ing.;Norbert;Herencsár;IVO;LATTENBERG;4026993;;;;;;;;;
Cílem projektu je navržení metody pro identifikaci aleatorických nejistot v parametrech heterogenních materiálů. Tímto tématem se v současné literatuře zabývá pouze malé množství prací, z nichž každá má svá podstatná omezení. Některé metody nejsou například vhodné pro kalibrování nelineárních materiálových modelů z makroskopických měření, jiné neuvažují korelaci mezi jednotlivými měřeními či epistemické nejistoty spojené s modelováním malých souborů dat. Proto se v rámci projektu zaměříme na kombinování dostupných poznatků a navržení nové metody, která nebude mít zmíněné nedostatky. Kromě toho metodu rozšíříme, aby umožňovala identifikaci ze série experimentů s různým typem zatěžování a identifikaci prostorově proměnných materiálových parametrů, které budeme modelovat pomocí náhodných polí. Navrženou metodu budeme verifikovat v rámci dvou případových studií týkajících se rozdílných heterogenních materiálů: (i) laminátového skla a (ii) vláknobetonu.;České vysoké učení technické v Praze / Fakulta stavební;CZ;5131391;Ing.;Anna;Kučerová;;;;;;;;;;;;
"Odborníci z Ústavu struktury a mechaniky hornin AVČR zahájili sledování pohybů na odlučných plochách potenciálního sesuvu na El Hierru v roce 2013. Navrhovaný projekt rozšiřuje toto sledování vytvořením komplexního automatizovaného monitorovacího systému deformací a vybraných geofyzikálních veličin. Získané údaje budou analyzovány společně s dalšími volně dostupnými primárními daty za použití paradigmatu ""big data"" (velkých dat) s cílem komplexně posoudit dynamiku vývoje megasesuvu. Výsledky budou doplněny komplexním zkoumáním megasesuvů a jejich reaktivací v regionálním i globálním měřítku. ""Big data"" analýza je klíčovou součástí projektu, což v rámci geovědních disciplín představuje zcela nový přístup. ""Big data"" se zaměřuje na simultánní analýzu celé řady heterogenních datových sad, což této metodě dává obrovskou predikční schopnost. Takto zpracovaná data a vytvořené predikce z El Hierra bude možné využít pro diskuzi o ohroženích a rizicích, jež představují megasesuvy na jiných sopečných ostrovech po celém světě.";Ústav struktury a mechaniky hornin AV ČR, v. v. i.;CZ;1712136;Mgr.;Jan;Blahůt;Petr;Hermann;3978877;0000-0001-6250-5125;A-1880-2008;7005436559;;;;;;
Nové farmakologické přístupy v ochraně myokardu proti ischemicko/reperfuznímu poškození jsou předmětem intenzivního kardiovaskulárního výzkumu. Jedním z možných terapeutických přístupů by mohla být optimalizace energetického metabolizmu srdce, tedy posun k většímu využití karbohydrátů na úkor mastných kyselin jako paliva, což by srdci umožnilo efektivněji využívat kyslík a produkovat energii. Obdobné optimalizace energetického metabolizmu srdce lze dosáhnout jeho adaptací na chronickou hypoxii,která je spojená s kardioprotekcí. Leptin a klíčový enzym nově objeveného epigenetického mechanismu, RNA- demetyláza FTO, jejíž rizikové varianty souvisejí s výskytem metabolických a kardiovaskulárních onemocnění, hrají významnou úlohu v řízení energetické rovnováhy a metabolismu. Nedávno bylo zjištěno, že hladina FTO v srdci je řízená leptinem. Cílem projektu je studovat úlohu leptinu a FTO v regulaci srdečního energetického metabolismu a odolnosti myokardu k I/R poškození pomocí inhibitoru FTO a protilátky proti leptinovému receptoru v normálním a na chronickou hypoxii adaptované srdci.;Fyziologický ústav AV ČR, v. v. i.;CZ;8140650;RNDr.;Markéta;Hlaváčková;František;Novák;1697277;0000-0001-5582-3977;F-4268-2017;;František;Kolář;9825444;0000-0002-8723-1826;A-7852-2012;7005665978
Předpokládáme, že microRNA (miRNA) by se mohly podílet na regulaci interakcí v mikroprostředí a heterogenity v signalizaci přes B-buněčný receptor (BCR) u normálních a maligních B lymfocytů. Rádi bychom objasnili jak se specifické miRNA indukované po poškození DNA (miR-34a, miR-1246) podílejí na regulaci BCR signalizace a identifikovali jejich cílové geny a regulační dráhy. Naše předběžné údaje naznačují, že miR-34a je zodpovědná za inhibici BCR signalizace po poškození DNA a tvoří tak pojítko mezi p53 dependentní signalizací a zastavením pro-proliferačních signálů z BCR. Také předpokládáme, že interakce v mikroprostředí ovlivňují expresi miRNA (miR-150, miR-425, miR-185), které regulují BCR-asociované geny (GAB1, FOXP1, BTK) a tím modifikují aktivitu této dráhy, která je v kontextu mikroprostředí nezbytná. Provedeme studie za účelem identifikace dalších miRNA, které se potenciálně účastní regulace BCR signalizačních drah s využitím experimentálních modelů B buněčné adheze a inhibice/aktivace BCR signalizace.;Fakultní nemocnice Brno;CZ;4382749;doc. MUDr. Mgr.;Marek;Mráz;Šárka;Pospíšilová;1957864;0000-0001-7136-2680;;;;;;;;
Validní svalově-kosterní modely lidského těla mohou poskytnout informace a znalosti o mechanismech, které mohou být základem pro vznik zranění. Použití těchto modelů může mít významný vliv na zdraví, pohyb a každodenní činnosti. Do širšího významu pochopení základních biofyzikálních vlastností lidského těla patří poruchy horních končetin. Tento projekt je v souladu se světovým programem pohybu a zdraví, zaměřeným na využití sportu a pohybové aktivity pro podporu zdraví.;Ostravská univerzita / Pedagogická fakulta;CZ;2554178;Mgr.;Roman;Farana;;;;;;;;;;;;
Bezpečná a účinná vakcína musí kromě antigenu obsahovat také pomocné imuno-stimulační látky, tzv. adjuvancia. Velmi účinnými adjuvancii jsou agonisti toll-like receptorů (TLR) přítomných v membránách antigen-prezentujících buněk (APC). Klinické použití volných TLR-agonistů je ale limitováno jejich relativně vysokou toxicitou, omezenou rozpustností v tělních tekutinách a nižší schopností  interagovat s povrchovými receptory APC. Navrhujeme řešení, spočívající v použití multivalentních hydrofilních polymerů umožňijících definované a nedestruktivní navázání jak antigenu, tak TLR-agonistů. Tyto polymerní vakcíny zajistí adjuvanciím lepší rozpustnost, nižší toxicitu a vyšší aviditu k příslušným buněčným receptorům a antigenu umožní dlouhodobější cirkulaci  v tělním oběhu. V projektu budeme studovat vlivy struktury a složení polymerního nosiče, koncentrace navázaného adjuvancia (TLR7/8-agonisti), způsobu přichycení antigenu (Gag proteinu HIV viru), či směrujících jednotek (deriváty manózy) s ohledem na jejich schpnosti vyvolat obrannou imunitní reakci vůči vnesenému antigenu.;Ústav makromolekulární chemie AV ČR, v. v. i.;CZ;6656153;Ing.;Richard;Laga;;;;;;;;;;;;
Epitaxní grafén bude v kombinaci s karbidem křemíku (SiC) využit k výrobě laditelných elektronických a optoelektronických součástek. V projektu bude využíváno unikátních vlastností jak grafénu, tedy polokovu s malou hustou stavů, tak SiC, polovodiče s širokým zakázaným pásem. V rámci projektu proběhne optimalizace růstu epitaxního grafénu a pomocí analyzátoru reziduálních plynů bude kontrolována a charakterizována čistota růstového prostředí. Budou vyrobeny heterostruktury SiC/grafen/SiC/grafen které jednak umoží změnu koncentrace nosičů náboje v grafénu, a jednak opticky zpřístupní vodivostní kanál v SiC pro optoelektronické aplikace. Budou vyrobeny elektronické laditelné tunelovací diody na bázi rozhraní grafén/kov. Laditelnost bude dosažena možností změny koncentrace nosičů náboje v grafénu.;Univerzita Karlova / Matematicko-fyzikální fakulta;CZ;1610775;RNDr.;Jan;Kunc;Roman;Grill;8206597;0000-0002-4615-8909;A-2109-2008;10039402900;Marek;Potemski;;;;
Ve slunečním větru v oblastech před magnetosférami planet dochází k formování bezsrážkových rázových vln. Horké elektrony odražené od rázové vlny mohou vytvářet svazky, které následně interagují s proudícím slunečním větrem v oblasti nazývané foreshock. Pomocí těchto elektronových svazků dochází ke vzniku nestabilit, díky kterým se generují elektrostatické Langmuirovy vlny. Předkládaný projekt je zaměřen na analýzu těchto plazmových vln pozorovaných v foreshocích planet. Ačkoliv jsou tyto jevy již dlouho dobu zkoumány, tak existuje mnoho procesů, které nejsou zcela vysvětleny. Použitím všech dostupných dat z družic Cassini, Gallileo a Cluster, provedeme statistickou analýzu a porovnání vlastností Langmuirových vln pozorovaných u Saturnu, Jupiteru, Venuše a Země. Dále se budeme věnovat detailnějšímu studiu vlastností nestabilit ve svazkovém plazmatu v závislosti na poloze ve foreshocku. Na základě získaných výsledků provedeme numerické a počítačové simulace interakcí ve svazkovém plazmatu. Hlavním cílem tohoto projektu je zlepšit naše pochopení vzniku a interakce plazmových vln.;Ústav fyziky atmosféry AV ČR, v. v. i.;CZ;6514685;RNDr.;David;Píša;Ondřej;Santolík;9496726;0000-0002-4891-9273;F-7766-2014;;Michel;PARROT;;;;
Metody pro citlivou analýzu RNA modifikací umožňující detailní studie chemické struktury různých RNA molekul byly vyvinuty velmi nedávno a ještě nikdy nebyly využity pro analýzu virové RNA. Nedávný objev nikotinadenindinukleotidu (NAD) kovalentně vázaného na jeden typ RNA kódované na plasmidu, naznačuje, že i další episomy jako je herpesvirus, adenovirus nebo dokonce další jednoduché formy života mohou pro nějaké účely využívat RNA molekuly s kovalentně vázanými kofaktory nebo jinými konjugáty. Cílem tohoto projektu je detailní studie chemické struktury virové RNA savčích virů pomocí hmotnostní spektrometrie. Po detekci jakékoliv modifikace nebo RNA konjugátu, nové chemické nebo chemo-enzymové metody pro identifikaci sekvence modifikovaných RNA budou využity nebo vyvinuty v závislosti na charakteru modifikace. Následným cílem bude odhalení funkce, biogenese a mechanismu interakce virové RNA s hostitelskou buňkou. Tento projekt přinese nový pohled na mechanismus účinku různých virových RNA v hostitelských buňkách.;Ústav organické chemie a biochemie AV ČR, v. v. i.;CZ;2810824;Ing.;Hana;Macíčková Cahová;;;;;;;;;;;;
V rámci projektu budou studovány možnosti růstu polovodičových nanovláken metodou VLS při použití dvousložkových kovových katalytických nanočástic. Bude zkoumán vliv složení katalyzátoru na fyzikální vlastnosti nanovláken, s důrazem na možné zabudovávání atomů katalyzátoru do nanovláken. Tato technika se výrazně liší od konvenčních způsobů dopování a je perspektivní pro dosažení plazmonové rezonance ve střední a daleké části infračerveného spektra, tedy v oblasti, kde jsou v současnosti používané materiály nevyhovující. Takto připravené polovodičové nanostruktury navíc umožní ladit plasmonovou rezonanci v širokém frekvenčním rozsahu. Výsledky projektu přispějí nejen k objasnění principů růstu dopovaných nanovláken, ale i k vysvětlení jejich funkce v aplikovaných systémech, např. senzorice.;Vysoké učení technické v Brně / Středoevropský technologický institut;CZ;2404214;Ing.;Miroslav;Kolíbal;;;;;;;;;;;;
Současné klimatické změny v oblasti přímořské Antarktidy mají rychlý a významný vliv na strukturu a fungování ekosystémů polárních jezer. Antarktický poloostrov a souostroví Jamese Rosse, reprezentující největší odledněné části této oblasti, díky jejich poloze představují excelentní lokality pro studium jezerních sedimentů.  Za účelem zjištění současných změn klimatu a životního prostředí a s využitím multi-proxy paleolimnologického přístupu, který bude zahrnovat kompletní analýzy sedimentárních jader, budeme studovat vliv současných environmentálních změn na strukturu jezerních rozsivkových společenstev v porovnání se změnami v holocénu. Rozsivky (Bacillariophyta) představují druhově nejbohatší skupinu řas v Antarktické oblasti a jejich druhově specifická morfologie schránek, specifická odpověď na rozdílné podmínky prostřední a velmi dobré zachování jejich schránek v sedimentech z nich činí výborný nástroj, který bude možné využít jako základ pro rekonstrukci a predikci vlivu oteplování a environmentálních změn v těchto jedinečných ekosystémech.;Univerzita Karlova / Přírodovědecká fakulta;CZ;7241615;;Kateřina;Kopalová;Linda;Nedbalová;8338639;0000-0003-1800-714X;D-2792-2009;;Bart;Van de Vijver;;;;
Projekt je zaměřen na design a syntézu různých typů nových chirálních ionexů – jmenovitě slabých anexů, silných katexů jakož i zwitteriontových ionexů. Stacionární fáze ionexového typu mohou být používány v širokém spektru mobilních fází v rozsahu od polárního organického módu a módu reverzní fáze až po HILIC nebo superkritickou fluidní chromatografii (SFC). Chromatografické parametry všech nově připravených stacionárních fází budou zhodnoceny za výše uvedených podmínek, především s ohledem na využití v SFC-MS aplikacích. Bude posouzena rovněž stabilita všech nově připravených stacionárních fází, včetně vlivu změny chromatografických podmínek. Chirální ionexy obecně představují ideální stacionární fáze pro enantiomerní separace polárních látek. V rámci předkládaného projektu se zaměříme na enantiomerní separaci chirálních bází, kyselin i amfolytů za podmínek HPLC a SFC. Bude studováno optimální složení mobilní fáze a vliv různých ionizovatelných a reaktivních látek přidaných do superkritického oxidu uhličitého.;Vysoká škola chemicko-technologická v Praze / Fakulta chemické technologie;CZ;4974743;Ing.;Michal;Kohout;;;;;;;;;;;;
Signální dráha proteinu Wnt je nezbytná pro řadu dějů během lidského vývoje. Ztráta kontroly nad její regulací je častou příčinou rakovinného bujení. Fosfoinositidy (PIP) zásadním způsobem přispívají k regulaci řady buněčných dějů – membránového transportu, přenosu signálů nebo buněčné smrti. Nedávné studie včetně našich přinesly důležité poznatky o významu metabolismu PIP v kontrole Wnt signální dráhy. V této aplikaci navrhujeme studovat úlohu vybraných PIP-metabolizujících enzymů v regulaci Wnt signalizace. Za prvé budeme v savčích buňkách zjišťovat úlohu PIP fosfatáz z rodiny myotubularinů během sekrece Wnt proteinu. Za druhé, na modelovém organismu Caenorhabditis elegans budeme studovat funkci fosfatidylinositol-4-fosfát 5-kinázy (PIP5K) při kontrole Wnt signální dráhy. Navrhovaný výzkum přinese nové poznatky o regulaci signální dráhy proteinu Wnt.;Univerzita Karlova / Přírodovědecká fakulta;CZ;2910055;Mgr.;Marie;Macůrková;;;;;;;;;;;;
Mezinárodní recepce Merleau-Pontyho díla v posledních dvaceti letech prodělala významnou změnu díky tomu, že začaly být vydávány podklady k jeho přednáškám na Collège de France. Analýza těchto materiálů v souvislosti s některými doposud nevydanými rukopisy ukazuje, že pokud by byl dokončen autorův poslední projekt (Viditelné a neviditelné), jeho pozitivní část by se opírala o detailní fenomenologické rozbory velmi konkrétních materiálů podobně jako Fenomenologie vnímání. Analyzujeme-li toto propojení mezi kurzy z Collège de France a Viditelným a neviditelným, ukazuje se, že je třeba korigovat naši představu o Merleau-Pontyho pozdní filosofii tím, že bude jasně propojena s jeho analýzami z 50. let, tj. zejména s konkrétními studiemi tělesnosti, intersubjektivity, řeči a dynamicky pojaté racionality. Tento potenciál však v ČR doposud nebyl dostatečně osvětlen a využit. Cílem projektu je proto vytvořit soubor původních interpretací a překladů, který by tuto vazbu ukázal a zhodnotil jak v ČR tak na mezinárodní úrovni.;Univerzita Palackého v Olomouci / Filozofická fakulta;CZ;4470265;Mgr.;Jan;Halák;Jakub;ČAPEK;3268969;0000-0001-9049-5470;;25649032900;Renaud;BARBARAS;;;;
V současném vědeckém světě nás obklopuje pocit, že věci neustále zrychlují – vědci si stěžují na chronickou zaneprázdněnost a nedostatek času na výzkum. Musí publikovat více článků, vyhovět termínům, vytrvat. Na pozadí sociologických analýz času projekt zkoumá strukturu a důsledky této rozšířené zkušenosti. Projekt se soustředí na zkoumání příčin a projevů časového presu v životech mladých badatelů v České republice. Šetření se zaměří na osobní a především epistemické důsledky měnícího se akademického času, v širším kontextu současné organizace vědy. Etnografický terénní výzkum se pak bude koncentrovat na zkoumání projevů časového presu a toho, jak ovlivňuje produkci vědění ve vybraných disciplínách (fyzika a ekonomie) v rámci českých vědeckých institucí. Projekt si klade za cíl pojednat a vyhodnotit, zda vědecká hyper-produktivita a s ní spojené časové nároky mají na vědu progresivní nebo konzervativní dopady.;Filosofický ústav AV ČR, v. v. i.;CZ;4187024;;Filip;Vostal;;;;;;;;;;;;
Mezi inteligentní systémy se řadí materiály, které mění své vlastnosti pod vlivem různých vnějších stimulů (pH, teplota, světlo, elektrické nebo magnetické pole). Ty materiály, jež opětovně mění své reologické vlastnosti v závislosti na použití vnějšího elektrického pole, jsou v současnosti využívané v zařízeních, kde je důležité proměnné řízení tlumení nebo přenášení působící síly. Ty materiály, jež opětovně mění své rozměry vlivem expozice různými světelnými zdroji, se využívají v systémech, kde se efektivně využívá přenos světelné energie na mechanickou. Navrhovaný projekt se v oblasti základního výzkumu věnuje využití unikátních dvojdimenzionálních částic grafen oxidu s funkcionalizovaným povrchem k modifikaci pomocí řízené radikálové polymerace umožňující kontrolu jak jejich elektrické vodivosti, tak i délky polymerních řetězců v jednom kroku. Připravené částice s cíleně řízenou vodivostí budou základem inteligentních systémů citlivých na elektrické stimuly a částice s řízenou modifikací povrchu využity k studiu inteligentních systémů citlivých na světelné stimuly.;Univerzita Tomáše Bati ve Zlíně / Univerzitní institut;CZ;8133662;Ing.;Miroslav;Mrlík;Vladimír;Pavlínek;4964241;;;;;;;;;
Výskyt neurodegenerativních onemocnění včetně Alzheimerovy choroby navzdory pokrokům v lékařských vědách každoročně roste. Zásadní překážkou vývoje účinných léčebných postupů je zatím neúplná znalost raných fází etiologie těchto onemocnění. Podle současných výzkumů hraje v počátcích patogeneze významnou úlohu narušení energetické homeostáze mozku. Je proto mimořádně důležité porozumět vztahům mezi metabolickými a kognitivními funkcemi a jejich poruchami. V řízení těchto vztahů se může významně uplatňovat klíčový enzym nově objeveného epigenetického mechanismu, RNA-demetyláza FTO, jejíž rizikové genetické varianty souvisejí s výskytem řady metabolických i neurologických poruch. V tomto projektu budeme studovat vliv aplikace nově syntetizovaného inhibitoru FTO na kognitivní funkce, energetickou homeostázi mozku a postup neuropatologie v modelu Alzheimerovy choroby. K dosažení těchto cílů použijeme pokročilé behaviorální, zobrazovací, biochemické a kultivační techniky. Naše poznatky mohou významným způsobem přispět k poznání vztahu mezi bioenergetikou mozku a kognitivními funkcemi.;Univerzita Karlova / Přírodovědecká fakulta;CZ;6054781;Mgr.;Petr;Telenský;Jan;Bureš;6725856;0000-0003-0326-117X;E-5116-2017;;;;;;;
